provience,city,TAG
سیستان وبلوچستان,ادیمی,ADI
سیستان وبلوچستان,اسپکه,ASH
سیستان وبلوچستان,ایرانشهر,IIR
سیستان وبلوچستان,بزمان,BZN
سیستان وبلوچستان,بمپور,BMR
سیستان وبلوچستان,بنت,BNT
سیستان وبلوچستان,بنجار,BNR
سیستان وبلوچستان,پیشین,PIN
سیستان وبلوچستان,جالق,JAH
سیستان وبلوچستان,چاه بهار,CHR
سیستان وبلوچستان,خاش,KAS
سیستان وبلوچستان,دوست محمد,DOD
سیستان وبلوچستان,راسک,RAK
سیستان وبلوچستان,زابل,ZAL
سیستان وبلوچستان,زابلی,ZAI
سیستان وبلوچستان,زاهدان,ZAN
سیستان وبلوچستان,زرآباد,ZRD
سیستان وبلوچستان,زهک,ZHK
سیستان وبلوچستان,سراوان,SRN
سیستان وبلوچستان,سرباز,SRZ
سیستان وبلوچستان,سوران,SON