OSTAN,CITY,TAG,CODE
هرمزگان,ابوموسی,ABO,950100
هرمزگان,بستک,BAS,950200
هرمزگان,بندرجاسک,BAJ,950300
هرمزگان,بندرچارک,BAC,950400
هرمزگان,بندرعباس,BAA,950500
هرمزگان,بندرلنگه,BAL,950600
هرمزگان,بیکاه,BIK,950700
هرمزگان,پارسیان,PAS,950800
هرمزگان,تخت,TAT,950900
هرمزگان,جناح,JNA,951000
هرمزگان,حاجی اباد,HAJ,951100
هرمزگان,خمیر,KHA,951200
هرمزگان,درگهان,DAR,951300
هرمزگان,دهبارز,DEH,951400
هرمزگان,رویدر,ROY,951500
هرمزگان,ریارتعلی,ZYA,951600
هرمزگان,سردشت,SAR,951700
هرمزگان,سرگز,SAZ,951800
هرمزگان,سندرک,SAN,951900